area;ciudad;conglomerado;panelm;vivienda;hogar;s101p11;s101p12a;s101p12b;s101p12c;s101p12d;s101p12e;s101p2a;s101p2b;s101p2c;s101p2d;s101p2e;s101p2f;s101p5a;s101p5b;s101p5c;s101p5d;s101p5e;s101p5f;s101p5g;s101p51a;s101p52a;s101p51b;s101p52b;s101p51c;s101p52c;s101p51d;s101p52d;s101p51e;s101p52e;s101p51f;s101p52f;s101p51g;s101p52g;s101p51h;s101p52h;s101p51i;s101p52i;s101p51j;s101p52j;s101p51k;s101p52k;s101p51l;s101p52l;s101p61;s101p62;s101p63;s101p64;s101p65;s101p66;s101p67;s101p68;s91p91;s91p92;s91p93;s91p94;s91p95;s91p96;s91p10;s91p111;s91p112;s91p113;s91p114;s91p115;s91p121;s91p122;s91p123;s91p124;s91p125;s91p126;s91p131;s91p132;s91p133;fexp
1;010150;003101;071;04;1;1;1;1;1;1;1;2;2;2;1;2;2;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;2;1;1;1;2;2;2;2;2;2;2;4;1;1;1;2;1;5;5;5;5;5;1;1;5;1;130.64
1;010150;003801;074;03;1;1;1;1;1;1;1;1;1;1;1;1;1;8;1;1;8;1;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;2;1;1;2;2;2;2;2;2;2;4;2;1;2;2;1;5;3;3;5;5;1;3;2;4;73.70
1;010150;003801;074;04;1;1;1;1;2;2;1;1;1;1;7;7;1;1;1;1;8;1;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;5;5;5;4;4;1;3;3;5;73.70
1;010150;003801;074;05;1;1;1;1;1;2;1;1;1;1;1;7;1;1;1;1;8;1;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;3;5;5;1;2;3;5;73.70
1;010150;003801;074;07;1;1;1;1;2;2;2;1;1;1;7;7;7;1;1;1;8;1;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;1;3;5;4;73.70
1;010150;004302;068;05;1;2;1;1;2;2;2;3;1;2;3;3;3;3;3;3;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;5;5;2;3;3;3;196.47
1;010150;010801;074;07;1;2;2;2;2;2;2;3;3;3;3;3;3;7;3;3;3;3;8;3;7;#NULO!;7;#NULO!;2;15;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;3;5;5;1;3;3;3;136.79
1;010150;011901;071;04;1;2;2;2;2;2;2;3;3;3;3;3;3;6;3;3;8;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;1;2;2;2;1;2;2;1;3;2;2;2;2;2;4;5;3;4;4;1;3;5;3;40.44
1;010150;013201;071;03;1;2;2;2;2;2;2;3;3;3;3;3;3;6;3;3;3;3;3;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;4;4;4;83.54
1;010150;013201;071;07;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;8;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;2;2;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;4;3;4;4;2;3;4;4;83.54
